District,State,Prant
Kishanganj , Bihar , BR-Uttar Prant
Kishtwar , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Kodagu , Karnataka , Karnataka Prant
Koderma , Jharkhand , Jharkhand Prant
Kohima , Nagaland , Nagaland Prant
Kokrajhar , Assam , Assam Prant
Kolar , Karnataka , Karnataka Prant
Kolasib , Mizoram , Mizoram Prant 
Kolhapur , Maharashtra , MH-Madhya Maharashtra Prant
Kolkata , West Bengal , West Bengal Prant
Kollam , Kerala , Kerala Prant
Komaram Bheem , Telangana , Telangana Prant
Konaseema , Andhra Pradesh , Andhra Pradesh Prant
